,id,name,author,title,description,url,urlToImage,publishedAt,content
0,fox-news,Fox News,Stephanie Pagones,"FBI, Florida authorities pursuing leads as water-treatment hacking investigation continues - Fox News","The FBI, Secret Service and Florida law enforcement are searching for one or more suspects they say tried to change the make-up of a local town’s water in a failed attempt to add a potentially caustic chemical by remotely accessing the computer system at a tr…",https://www.foxnews.com/us/fbi-florida-authorities-tips-water-treatment-hacking,https://static.foxnews.com/foxnews.com/content/uploads/2021/02/AP21040205240682.jpg,2021-02-09T15:54:17Z,"The FBI, Secret Service and Floridalaw enforcement are searching for one or more suspects they say tried to change the make-up of a local towns water in a failed attempt to add a potentially caustic … [+3515 chars]"
1,fox-news,Fox News,Tyler McCarthy,Britney Spears fans call out Diane Sawyer over 2003 interview featured in new documentary: 'I want an apology' - Fox News,Diane Sawyer is facing backlash for a 2003 interview she did with Britney Spears after it was featured in a documentary about the pop star.,https://www.foxnews.com/entertainment/britney-spears-diane-sawyer-2003-interview-documentary,https://static.foxnews.com/foxnews.com/content/uploads/2021/02/Sawyer-Spears-Getty.jpg,2021-02-09T15:31:43Z,"Diane Sawyer is facing backlash for a 2003 interview she did with Britney Spears after it was featured in a documentary about the pop star. 
The ""Toxic"" singer is the subject of an unauthorized docu… [+2973 chars]"
2,ars-technica,Ars Technica,Kyle Orland,Cyberpunk 2077 developer hit with ransomware attack - Ars Technica,Studio vows not to negotiate with hackers.,https://arstechnica.com/gaming/2021/02/cyberpunk-2007-developer-hit-with-ransomware-attack/,https://cdn.arstechnica.net/wp-content/uploads/2021/02/cyberkeanu-760x380.png,2021-02-09T15:22:00Z,"Enlarge/ How would Johnny Silverhand deal with this ransomware threat?
44 with 37 posters participating, including story author
Cyberpunk 2077 developer CD Projekt Red announced that it has ""become… [+2219 chars]"
3,,Fox Business,Roman Chiarello,Robinhood faces class-action lawsuit over trading platform that’s ‘designed to go down’ - Fox Business,"Robinhood is facing a class-action lawsuit after restricting trades on several stocks, including GameStop and AMC, two weeks ago.",https://www.foxbusiness.com/markets/robinhood-class-action-lawsuit-trading-platform-designed-down,https://a57.foxnews.com/static.foxbusiness.com/foxbusiness.com/content/uploads/2021/01/0/0/Robinhood-1.jpg?ve=1&tl=1,2021-02-09T15:19:25Z,"Robinhood is facing a class-action lawsuit after restricting trades on severalstocks, including GameStop and AMC, two weeks ago.
“Robinhood knew its actions would result in the restricted stock pric… [+2526 chars]"
4,politico,Politico,"Kyle Cheney, Andrew Desiderio",House impeachment managers to argue 'violent crime' case against Trump - POLITICO,The preview from the House impeachment managers comes as the Senate kicks off the trial.,https://www.politico.com/news/2021/02/09/house-managers-trump-impeachment-2021-467858,https://static.politico.com/6e/1e/bd02832d4d04996b0e1b140aa700/ap21039792452333.png,2021-02-09T15:02:00Z,"Itll be more like a violent crime criminal prosecution, because that is what it is, one of the advisers said. It will tell the story, the full story of how the president incited it. Jan. 6 was the cu… [+3143 chars]"
5,ars-technica,Ars Technica,John Timmer,Mapping the ice on Mars that could support future missions - Ars Technica,"It's not great to land near Mars' poles, and accessing water will be key.",https://arstechnica.com/science/2021/02/mapping-the-ice-on-mars-that-could-support-future-missions/,https://cdn.arstechnica.net/wp-content/uploads/2021/02/ESP_062853_2355-760x380.jpg,2021-02-09T14:44:00Z,"Enlarge/ While we know of locations with ice on Mars, not all of them are in places we'd want to land.
39 with 21 posters participating
Over the past couple decades, plans to go to Mars or return t… [+5402 chars]"
6,nbc-news,NBC News,Reuters,Eli Lilly says CFO resigns after 'inappropriate communication' with staff - NBC News,Eli Lilly said on Tuesday Chief Financial Officer Josh Smiley resigned after an independent investigation found inappropriate personal communication with some employees.,https://www.nbcnews.com/business/business-news/eli-lilly-says-cfo-resigns-after-inappropriate-communication-staff-n1257133,https://media1.s-nbcnews.com/j/newscms/2021_06/3448733/210209-josh-smiley-al-0924_1b4fa0f5ba644294bf88eab7b45b5f44.nbcnews-fp-1200-630.jpg,2021-02-09T14:31:00Z,"Eli Lilly said on Tuesday Chief Financial Officer Josh Smiley resigned after an independent investigation found inappropriate personal communication with some Lilly employees.
Lilly said it was rece… [+1763 chars]"
7,,ESPN,,NFL coaching legend Marty Schottenheimer dies at 77 - ESPN,Marty Schottenheimer has died at 77. The former NFL coach was diagnosed with Alzheimer's disease in 2014 and was placed in hospice care last month.,https://www.espn.com/nfl/story/_/id/30866875/nfl-coaching-legend-marty-schottenheimer-dies-77,https://a1.espncdn.com/combiner/i?img=%2Fphoto%2F2016%2F0122%2Fr47214_1296x729_16%2D9.jpg,2021-02-09T14:24:16Z,"Marty Schottenheimer, who won 200 regular-season games with four NFL teams thanks to his ""Martyball"" brand of smashmouth football but regularly fell short in the playoffs, has died. He was 77.Schotte… [+6679 chars]"
8,,New York Post,Justin Tasch,Super Bowl ratings 2021: Numbers for Buccaneers-Chiefs plummet from last year - New York Post ,"The Super Bowl 2021 ratings are finally out — and they’re not great. CBS announced on Tuesday morning that 96.4 million viewers watched the game across all their platforms, “includ…",https://nypost.com/2021/02/09/super-bowl-ratings-2021-numbers-plummet-from-last-year/,https://nypost.com/wp-content/uploads/sites/2/2021/02/Super-Bowl-ratings-2021.jpg?quality=90&strip=all&w=1200,2021-02-09T14:17:00Z,"The Super Bowl 2021 ratings are finally out  and they’re not great. 
CBS announced on Tuesday morning that 96.4 million viewers watched the game across all their platforms, “including the CBS Televi… [+1914 chars]"
9,cbs-news,CBS News,Aimee Picchi,"Third stimulus check: Will you get a $1,400 check? - CBS News","As lawmakers debate the next round of stimulus aid, some want to limit the number of people who would get a check.",https://www.cbsnews.com/news/third-stimulus-check-income-threshold-2021-02-09/,https://cbsnews1.cbsistatic.com/hub/i/r/2020/08/14/91fa3f38-a315-46a1-9096-a2cd8ea0c1f6/thumbnail/1200x630/393d403a4b52ad324b910182c885b431/gettyimages-1250738075.jpg,2021-02-09T14:07:00Z,President Joe Biden's $1.9 trillion coronavirus relief plan would provide a third round of federal stimulus checks to millions of Americans. Yet while lawmakers on both sides of the aisle have expres… [+6985 chars]
10,,Variety,Haley Bosselman,BTS ‘MTV Unplugged’ Concert to Air Feb. 23 - Variety,"Global pop phenomenon BTS are scaling back— but only for one performance. The K-pop superstars are the latest feature of the “MTV Unplugged” franchise. Building off the iconic series with a new take, this special edition will offer fans a front-row seat to ra…",https://variety.com/2021/music/news/bts-mtv-unplugged-concert-1234903591/,https://variety.com/wp-content/uploads/2021/02/bts-variety-cover-shoot-full-band-2-1.jpg?w=1000,2021-02-09T13:57:00Z,"Global pop phenomenon BTS are scaling back— but only for one performance.
The K-pop superstars are the latest feature of the “MTV Unplugged” franchise. Building off the iconic series with a new take… [+1349 chars]"
11,the-washington-post,The Washington Post,Gerry Shih,"WHO team in Wuhan dismisses lab leak theory, continues hunt for intermediary coronavirus host - The Washington Post",WHO officials said they will not recommend further investigation into the theory that the virus accidentally leaked from Wuhan labs.,https://www.washingtonpost.com/world/asia_pacific/coronavirus-who-china-investigation-wuhan/2021/02/09/2af3c44c-6a79-11eb-a66e-e27046e9e898_story.html,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/FRW3B2TKQII6XHVNM4YWRVNYOQ.jpg&w=1440,2021-02-09T13:56:00Z,"But they dismissed as unlikely another location mooted as the source of the virus: laboratories at the local Wuhan Institute of Virology (WIV). Peter Ben Embarek, the Danish WHO food safety expert le… [+3688 chars]"
